Weather_ID,Weather_Key 
8914,11/6/2016 21:51
8915,11/6/2016 22:51
8916,11/6/2016 23:51
8917,11/7/2016 0:51
8918,11/7/2016 1:51
8919,11/7/2016 2:51
8920,11/7/2016 3:51
8921,11/7/2016 4:51
8922,11/7/2016 5:51
8923,11/7/2016 6:51
8924,11/7/2016 7:51
8925,11/7/2016 8:46
8926,11/7/2016 8:51
8927,11/7/2016 9:01
8928,11/7/2016 9:51
8929,11/7/2016 10:51
8930,11/7/2016 11:51
8931,11/7/2016 12:51
8932,11/7/2016 13:51
8933,11/7/2016 14:51
8934,11/7/2016 15:51
8935,11/7/2016 16:51
8936,11/7/2016 17:51
8937,11/7/2016 18:51
8938,11/7/2016 19:51
8939,11/7/2016 20:51
8940,11/7/2016 21:51
8941,11/7/2016 22:51
8942,11/7/2016 23:51
8943,11/8/2016 0:51
8944,11/8/2016 1:51
8945,11/8/2016 2:51
8946,11/8/2016 3:51
8947,11/8/2016 4:51
8948,11/8/2016 5:51
8949,11/8/2016 6:51
8950,11/8/2016 7:51
8951,11/8/2016 8:51
8952,11/8/2016 9:51
8953,11/8/2016 10:51
8954,11/8/2016 11:51
8955,11/8/2016 12:51
8956,11/8/2016 13:51
8957,11/8/2016 14:51
8958,11/8/2016 15:51
8959,11/8/2016 16:51
8960,11/8/2016 17:51
8961,11/8/2016 18:32
8962,11/8/2016 18:40
8963,11/8/2016 18:51
8964,11/8/2016 19:51
8965,11/8/2016 20:51
8966,11/8/2016 21:51
8967,11/8/2016 22:51
8968,11/8/2016 23:51
8969,11/9/2016 0:51
8970,11/9/2016 1:51
8971,11/9/2016 2:51
8972,11/9/2016 3:51
8973,11/9/2016 4:51
8974,11/9/2016 5:33
8975,11/9/2016 5:51
8976,11/9/2016 6:15
8977,11/9/2016 6:51
8978,11/9/2016 7:34
8979,11/9/2016 7:51
8980,11/9/2016 8:18
8981,11/9/2016 8:51
8982,11/9/2016 9:51
8983,11/9/2016 10:51
8984,11/9/2016 11:51
8985,11/9/2016 12:51
8986,11/9/2016 13:51
8987,11/9/2016 14:51
8988,11/9/2016 15:51
8989,11/9/2016 16:51
8990,11/9/2016 17:51
8991,11/9/2016 18:51
8992,11/9/2016 19:51
8993,11/9/2016 20:51
8994,11/9/2016 21:51
8995,11/9/2016 22:51
8996,11/9/2016 23:51
8997,11/10/2016 0:51
8998,11/10/2016 1:51
8999,11/10/2016 2:51
9000,11/10/2016 3:51
9001,11/10/2016 4:51
9002,11/10/2016 5:51
9003,11/10/2016 6:51
9004,11/10/2016 7:51
9005,11/10/2016 8:51
9006,11/10/2016 9:51
9007,11/10/2016 10:51
9008,11/10/2016 11:51
9009,11/10/2016 12:51
9010,11/10/2016 13:51
9011,11/10/2016 14:51
9012,11/10/2016 15:51
9013,11/10/2016 16:51
9014,11/10/2016 17:51
9015,11/10/2016 18:51
9016,11/10/2016 19:51
9017,11/10/2016 20:51
9018,11/10/2016 21:51
9019,11/10/2016 22:51
9020,11/10/2016 23:22
9021,11/10/2016 23:51
9022,11/11/2016 0:51
9023,11/11/2016 1:51
9024,11/11/2016 2:51
9025,11/11/2016 3:51
9026,11/11/2016 4:51
9027,11/11/2016 5:51
9028,11/11/2016 6:51
9029,11/11/2016 7:51
